,ax,ay,az,gx,gy,gz,mx,my,mz
11:05:34:48,0.3210907,-0.8876343,7.1996155,0.2915039,0.23799133,0.2242279,,,
11:05:34:49,0.26123047,-0.8493347,6.912323,0.29896545,0.27101135,0.22529602,32.400513,-25.950623,-248.69995
11:05:34:50,0.14871216,-0.73680115,6.6106567,0.28938293,0.2635498,0.2242279,,,
11:05:34:51,0.057724,-0.67456055,6.4047546,0.25636292,0.20069885,0.22636414,31.64978,-25.650024,-247.95074
11:05:34:52,0.019424438,-0.56921387,6.299408,0.19883728,0.0867157,0.2242279,,,
11:05:34:53,0.1151886,-0.54766846,6.443054,0.13066101,-0.05921936,0.21464539,32.400513,-27.450562,-250.19989
11:05:34:54,0.20617676,-0.45428467,6.7997894,0.061416626,-0.20196533,0.192276,,,
11:05:34:55,0.35461426,-0.46147156,7.173294,0.0017547607,-0.31913757,0.1539154,30.299377,-25.79956,-249.15009
11:05:34:56,0.45277405,-0.43273926,7.640152,-0.053634644,-0.386261,0.11024475,,,
11:05:34:57,0.47431946,-0.37049866,8.123779,-0.10050964,-0.38945007,0.0665741,30.45044,-27.149963,-249.74976
11:05:34:58,0.43362427,-0.30584717,8.48291,-0.12820435,-0.32980347,0.018630981,,,
11:05:34:59,0.36897278,-0.21487427,8.846832,-0.14524841,-0.25735474,-0.029312134,30.900574,-25.950623,-249.45068
11:05:34:60,0.26841736,-0.22923279,9.079071,-0.14524841,-0.18598938,-0.07084656,,,
11:05:34:61,0.13673401,-0.26515198,9.225113,-0.13778687,-0.1252594,-0.08683777,30.299377,-25.500488,-250.34943
11:05:34:62,0.029006958,-0.30345154,9.411865,-0.12501526,-0.081588745,-0.07511902,,,
11:05:34:63,0.10083008,-0.29388428,9.773392,-0.10797119,-0.067733765,-0.035705566,30.299377,-25.500488,-250.34943
11:05:34:64,0.35940552,-0.17416382,10.20195,-0.06109619,-0.07733154,0.0037231445,,,
11:05:34:65,0.646698,-0.016143799,10.371933,0.010284424,-0.060287476,0.010101318,27.600098,-25.79956,-250.65002
11:05:34:66,0.87416077,0.038909912,10.288147,0.073135376,-0.032592773,-0.012268066,,,
11:05:34:67,0.9603424,0.04849243,10.199554,0.0912323,-0.014480591,-0.05380249,28.9505,-25.19989,-249.74976
11:05:34:68,0.9196472,-0.05445862,10.178009,0.06460571,4.4250488E-4,-0.09854126,,,
11:05:34:69,1.0297699,-0.20529175,10.2234955,0.03904724,0.010025024,-0.11453247,28.050232,-23.249817,-249.89929
11:05:34:70,1.1877899,-0.43034363,10.393494,-0.067489624,0.05050659,-0.14329529,,,
11:05:34:71,1.3075104,-0.5500641,10.570663,-0.14099121,0.09843445,-0.17098999,28.799438,-25.500488,-249.15009
11:05:34:72,1.3003235,-0.6194916,10.795715,-0.2102356,0.1378479,-0.21040344,,,
11:05:34:73,1.2476501,-0.641037,10.968094,-0.27095032,0.1485138,-0.24449158,28.349304,-25.500488,-250.34943
11:05:34:74,1.2261047,-0.65779114,11.185974,-0.32208252,0.1378479,-0.26579285,,,
11:05:34:75,1.1087799,-0.720047,11.411026,-0.36042786,0.10803223,-0.28604126,27.450562,-22.349548,-251.2497
11:05:34:76,0.9818878,-0.7703247,11.671997,-0.38493347,0.08566284,-0.3009491,,,
11:05:34:77,0.89331055,-0.8684845,11.6935425,-0.38279724,0.06541443,-0.29988098,27.149963,-24.899292,-251.2497
11:05:34:78,0.9316101,-1.0528412,11.70311,-0.3721466,0.04197693,-0.2828369,,,
11:05:34:79,1.0800476,-1.2587433,11.597778,-0.35403442,-0.017669678,-0.2540741,26.849365,-22.799683,-251.84937
11:05:34:80,1.1686401,-1.3185883,11.260193,-0.35191345,-0.06668091,-0.23490906,,,
11:05:34:81,1.254837,-1.1366425,11.018372,-0.39344788,-0.13378906,-0.23916626,27.149963,-24.150085,-250.19989
11:05:34:82,1.2572327,-0.8062439,10.996826,-0.49998474,-0.2275238,-0.27964783,,,
11:05:34:83,1.1710358,-0.54048157,11.260193,-0.6363373,-0.28292847,-0.33503723,27.900696,-21.899414,-250.95062
11:05:34:84,0.9483795,-0.40161133,11.899445,-0.7673645,-0.28504944,-0.39788818,,,
