,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
17:31:30:00,-58.0,-67.0,-69.0,-63.0,-79.0,-80.0,-80.0,-76.0,-76.0,-76.0,-87.0,-86.0,-86.0,-91.0,-60.0,-60.0,-60.0,-72.0,-69.0,-66.0,-72.0,-66.0,-67.0,-91.0,-91.0,-89.0,-92.0,-91.0,,,,,,,,,,,,,,44.434884825444456,26.0476833657506
17:31:32:00,-53.0,-59.0,-59.0,-57.0,-61.0,-62.0,-62.0,-78.0,-78.0,-77.0,-87.0,-87.0,-90.0,-88.0,-53.0,-54.0,-53.0,-69.0,-69.0,-65.0,-71.0,-65.0,-65.0,,,,-88.0,-87.0,,,,,,,,,,,,,,44.434874547482664,26.04769402281908
17:31:33:00,-54.0,-64.0,-64.0,-64.0,-59.0,-59.0,-59.0,-74.0,-75.0,-75.0,-87.0,-89.0,-88.0,-89.0,-51.0,-51.0,-51.0,-74.0,-74.0,-58.0,-74.0,-58.0,-57.0,-86.0,-85.0,-85.0,-89.0,-89.0,-94.0,-94.0,-94.0,,,,,,,,,,,44.43488174205541,26.047695960467895
17:31:34:00,-55.0,-58.0,-58.0,-58.0,-63.0,-63.0,-63.0,-83.0,-81.0,-81.0,-87.0,-86.0,-86.0,-88.0,-49.0,-49.0,-49.0,-72.0,-71.0,-61.0,-69.0,-60.0,-60.0,-83.0,-83.0,-83.0,-88.0,-90.0,,-96.0,-94.0,,,,,,,,,,,44.434893433236276,26.047695960467895
17:31:35:00,-56.0,-57.0,-57.0,-54.0,-72.0,-72.0,-73.0,-79.0,-80.0,-80.0,-88.0,-87.0,-87.0,-84.0,-49.0,-49.0,-50.0,-73.0,-75.0,-60.0,-69.0,-61.0,-60.0,-86.0,-86.0,-85.0,-84.0,-84.0,,,,,,,,,,,,,,44.434902526376966,26.047695960467895
17:31:36:00,-57.0,-46.0,-46.0,-46.0,-62.0,-62.0,-62.0,-74.0,-74.0,-74.0,-85.0,-87.0,,,-43.0,-44.0,-44.0,-65.0,-65.0,-60.0,-65.0,-60.0,-60.0,-85.0,-84.0,-84.0,,,,,,,,,,,,,,,,44.4349130898371,26.047695960467895
17:31:37:00,-57.0,-42.0,-42.0,-42.0,-63.0,-63.0,-63.0,-60.0,-61.0,-60.0,-85.0,-86.0,-85.0,-85.0,-43.0,-44.0,-44.0,-62.0,-62.0,-59.0,-62.0,-58.0,-58.0,-82.0,-81.0,-81.0,,-82.0,,,,,,,,,,,,,,44.43492401017089,26.047695960467895
17:31:38:00,-76.0,-60.0,-60.0,-60.0,-82.0,-82.0,-82.0,-67.0,-67.0,-66.0,-94.0,-95.0,-96.0,-94.0,-58.0,-58.0,-57.0,-64.0,-64.0,-76.0,-64.0,-76.0,-75.0,-90.0,-87.0,-90.0,-96.0,-95.0,,,,,,,,,,,,,,44.43493300338694,26.047695960467895
17:31:39:00,-75.0,-66.0,-66.0,-66.0,-94.0,-95.0,-93.0,-77.0,-78.0,-77.0,-95.0,-95.0,-94.0,-95.0,-60.0,-61.0,-61.0,-57.0,-57.0,-83.0,-57.0,-83.0,-83.0,-91.0,-92.0,,,-95.0,,,,,,,,,,,,,,44.43493300338608,26.04771170388026
17:31:40:00,-77.0,-61.0,-65.0,-61.0,-91.0,-91.0,-92.0,-74.0,-74.0,-74.0,-96.0,-96.0,-96.0,,-58.0,-59.0,-58.0,-59.0,-59.0,-83.0,-59.0,-83.0,-83.0,-89.0,-89.0,-88.0,,,,,,,,,,,,,,,,44.43493300338521,26.047727447292623
17:31:41:00,-79.0,-68.0,-69.0,-68.0,-94.0,-92.0,-92.0,-61.0,-62.0,-61.0,-96.0,-94.0,-95.0,,-60.0,-60.0,-60.0,-55.0,-55.0,-87.0,-55.0,-86.0,-86.0,-88.0,-87.0,-87.0,,,,,,,,,,,,,,,,44.434933003384344,26.04774319070499
17:31:42:00,-79.0,-76.0,-76.0,-76.0,-95.0,-95.0,-94.0,-74.0,-74.0,-74.0,-95.0,-94.0,-94.0,,-70.0,-72.0,-70.0,-53.0,-54.0,-91.0,-54.0,-87.0,-88.0,-88.0,-87.0,-86.0,,,,,,,,,,,,,,,,44.43493300338348,26.047758934117354
17:31:43:00,-82.0,-75.0,-75.0,-76.0,-94.0,-95.0,-95.0,-62.0,-62.0,-62.0,-93.0,-93.0,-94.0,,-68.0,-68.0,-68.0,-51.0,-52.0,,-53.0,,,-84.0,-84.0,-86.0,,,,,,,,,,,,,,,,44.43493300338252,26.047776251870957
17:31:44:00,-82.0,-85.0,-85.0,-84.0,-94.0,-95.0,-92.0,-52.0,-52.0,-52.0,-91.0,,-91.0,,-67.0,-66.0,-67.0,-46.0,-47.0,,-47.0,-91.0,-91.0,-81.0,-81.0,-81.0,,,,,,,,,,,,,,,,44.434933003381595,26.047793119812773
17:31:45:00,-89.0,-84.0,-84.0,-81.0,-95.0,-96.0,-95.0,-56.0,-56.0,-56.0,-86.0,-86.0,-85.0,,-68.0,-68.0,-68.0,-45.0,-45.0,,-45.0,,,-81.0,-80.0,-81.0,,,,,,,,-91.0,-92.0,-94.0,,,,,,44.434933003380706,26.047809313036918
17:31:46:00,-83.0,-73.0,-73.0,-73.0,-87.0,-87.0,-87.0,-51.0,-51.0,-51.0,-75.0,-75.0,-73.0,,-71.0,-72.0,-72.0,-47.0,-46.0,-87.0,-46.0,-87.0,-87.0,-61.0,-60.0,-61.0,,,,,,,,-93.0,-92.0,-92.0,,,,,,44.43493300337984,26.04782505644928
17:31:47:00,-72.0,-62.0,-64.0,-64.0,,-84.0,-85.0,-48.0,-48.0,-48.0,-68.0,-68.0,-68.0,,-64.0,-64.0,-64.0,-47.0,-47.0,-79.0,,-79.0,-79.0,-57.0,-57.0,-57.0,,,,,,,,-83.0,-81.0,-82.0,-91.0,-96.0,-96.0,-96.0,,44.434933003378916,26.047841699485208
17:31:48:00,-66.0,-61.0,-60.0,-61.0,-92.0,-93.0,-93.0,-50.0,-50.0,-49.0,-65.0,-65.0,-64.0,,-65.0,-69.0,-67.0,-49.0,-49.0,-85.0,-49.0,-84.0,-84.0,-51.0,-51.0,-51.0,,,,,,,,-85.0,-87.0,-86.0,,,,,,44.434933003378084,26.047856893127616
17:31:49:00,-65.0,-78.0,-75.0,-77.0,,,,-48.0,-48.0,-48.0,-61.0,-61.0,-61.0,,-65.0,-65.0,-65.0,-41.0,-40.0,-91.0,-40.0,-89.0,-88.0,-63.0,-63.0,-62.0,,,,,,,,,-83.0,,,,,,,44.43493300337713,26.0478740859335
17:31:50:00,-75.0,-64.0,-64.0,-64.0,-94.0,-93.0,-92.0,-51.0,-51.0,-51.0,-80.0,-79.0,-80.0,,-66.0,-66.0,-67.0,-52.0,-51.0,-88.0,-52.0,-88.0,-87.0,-75.0,-76.0,-77.0,,,,,,,,-84.0,-85.0,-85.0,,,,,,44.43493660066296,26.047884881416262
17:31:54:00,-75.0,-64.0,-64.0,-64.0,-94.0,-93.0,-92.0,-51.0,-51.0,-51.0,-80.0,-79.0,-80.0,,-66.0,-66.0,-67.0,-52.0,-51.0,-88.0,-52.0,-88.0,-87.0,-75.0,-76.0,-77.0,,,,,,,,-84.0,-85.0,-85.0,,,,,,44.43493749998391,26.04789686177001
17:31:55:00,-73.0,-73.0,-75.0,-75.0,-91.0,-91.0,-86.0,-53.0,-53.0,-53.0,-77.0,-76.0,-76.0,,-67.0,-67.0,-67.0,-45.0,-47.0,-86.0,-46.0,-86.0,-86.0,-73.0,-72.0,-72.0,,,,,,,,-88.0,-85.0,-86.0,,,,,,44.43493749998378,26.04790083474202
17:31:58:00,-79.0,-72.0,-69.0,-73.0,,,,-60.0,-59.0,-59.0,-81.0,-81.0,-81.0,,-62.0,-59.0,-60.0,-49.0,-51.0,-89.0,-53.0,-88.0,-87.0,-80.0,-80.0,-81.0,,,,,,,,,,,,,,,,44.43493036743303,26.047903773512555
17:31:59:00,-77.0,-70.0,-72.0,-72.0,-92.0,-92.0,-92.0,-63.0,-63.0,-63.0,-82.0,-83.0,-84.0,,-73.0,-73.0,-74.0,-51.0,-52.0,,-52.0,,-90.0,-79.0,-79.0,-78.0,,,,,,,,-92.0,-90.0,-91.0,,,,,,44.434924010159605,26.047903773512555
17:32:00:00,-82.0,-83.0,-83.0,-81.0,-91.0,-92.0,-92.0,-62.0,-61.0,-64.0,-77.0,-76.0,-75.0,,-76.0,-75.0,-76.0,-65.0,-65.0,,-61.0,,-92.0,-83.0,-86.0,-87.0,,,,,,,,-96.0,-94.0,-96.0,,,,,,44.43491276863953,26.047903773512555
17:32:01:00,-82.0,-79.0,-79.0,-79.0,-92.0,-92.0,-90.0,-71.0,-71.0,-71.0,-72.0,-73.0,-73.0,,-79.0,-79.0,-79.0,-61.0,-61.0,-88.0,-61.0,-87.0,-87.0,-83.0,-82.0,-82.0,,,,,,,,-94.0,-95.0,-95.0,,,,,,44.43490152711945,26.047903773512555
17:32:02:00,-88.0,-81.0,-81.0,-81.0,-93.0,-95.0,-95.0,-69.0,-69.0,-69.0,-74.0,-74.0,-74.0,,-78.0,-77.0,-76.0,-64.0,-65.0,,-65.0,,,-79.0,-79.0,-79.0,,,,,,,,,,,,,,,,44.43489028559937,26.047903773512555
17:32:03:00,-84.0,-75.0,-75.0,-73.0,-92.0,-93.0,-92.0,-66.0,-66.0,-66.0,-79.0,-80.0,-80.0,,-77.0,-77.0,-77.0,-64.0,-64.0,,-64.0,,-91.0,-81.0,-80.0,-81.0,,,,,,,,-94.0,,-93.0,,,,,,44.43487954370241,26.047903773512555
17:32:04:00,-89.0,,,,-95.0,-91.0,-94.0,-66.0,-67.0,-67.0,,,,,-82.0,-81.0,-83.0,-60.0,-59.0,,-60.0,,,-81.0,-81.0,-81.0,,,,,,,,-96.0,-95.0,,,,,,,44.434874547470685,26.047914269110297
17:32:05:00,-77.0,-75.0,-75.0,-75.0,-92.0,-92.0,-90.0,-67.0,-68.0,-68.0,-86.0,-85.0,-86.0,,-79.0,-78.0,-78.0,-63.0,-64.0,,-64.0,-91.0,-90.0,-81.0,,-81.0,,,,,,,,-94.0,-93.0,-93.0,,,,,,44.434874547469946,26.04792770347541
17:32:06:00,-84.0,-80.0,-79.0,-81.0,-93.0,-93.0,-93.0,-67.0,-67.0,-68.0,-84.0,-84.0,-82.0,,-73.0,-74.0,-73.0,-63.0,-63.0,,-63.0,,,-81.0,-80.0,-81.0,,,,,,,,,,,,,,,,44.434874547469185,26.04794155766443
17:32:07:00,-85.0,-77.0,-77.0,-77.0,,,,-63.0,-63.0,-63.0,-86.0,-85.0,-85.0,,-78.0,-78.0,-77.0,-56.0,-56.0,,-56.0,,-90.0,-79.0,-79.0,-79.0,,,,,,,,,,,,,,,,44.434885788989256,26.04794155766443
17:32:08:00,-82.0,-86.0,-85.0,-85.0,-91.0,-89.0,-91.0,-62.0,-62.0,-62.0,-88.0,-79.0,-81.0,,-75.0,-74.0,-75.0,-59.0,-59.0,,-59.0,,,-82.0,-80.0,-80.0,,,,,,,,-95.0,-95.0,-95.0,,,,,,44.4348976728819,26.04794155766443
17:32:09:01,-79.0,-69.0,-71.0,-69.0,-91.0,-90.0,-90.0,-62.0,-61.0,-62.0,-74.0,-74.0,-74.0,,-72.0,-72.0,-69.0,-57.0,-59.0,-88.0,-58.0,-90.0,-89.0,-79.0,-79.0,-78.0,,,,,,,,-94.0,,,,,,,,44.43491063274862,26.04794155766443
17:32:10:00,-73.0,-69.0,-69.0,-72.0,,,,-63.0,-63.0,-64.0,-75.0,-75.0,-75.0,,-65.0,-65.0,-65.0,-54.0,-56.0,-90.0,-55.0,-89.0,-88.0,-80.0,-79.0,-79.0,,,,,,,,,,,,,,,,44.43492176185349,26.04794155766443
17:32:11:00,-83.0,-84.0,-83.0,-83.0,-94.0,-94.0,-96.0,-63.0,-63.0,-64.0,-88.0,-91.0,-89.0,,-62.0,-64.0,-64.0,-47.0,-47.0,-86.0,-48.0,-87.0,-87.0,-77.0,-75.0,-77.0,,,,,,,,,,,,,,,,44.43493300337356,26.04794155766443
17:32:12:00,-76.0,-67.0,-66.0,-66.0,-93.0,-95.0,-93.0,-58.0,-58.0,-58.0,-77.0,-77.0,-78.0,,-61.0,-61.0,-61.0,-48.0,-48.0,-90.0,-49.0,-88.0,-87.0,-76.0,-75.0,-76.0,,,,,,,,-91.0,-91.0,-92.0,,,,,,44.434937499981324,26.04793368595764
17:32:13:00,-76.0,-67.0,-66.0,-66.0,-93.0,-95.0,-93.0,-58.0,-58.0,-58.0,-77.0,-77.0,-78.0,,-61.0,-61.0,-61.0,-48.0,-48.0,-90.0,-49.0,-88.0,-87.0,-76.0,-75.0,-76.0,,,,,,,,-91.0,-91.0,-92.0,,,,,,44.434937499980514,26.04791888714888
17:32:14:00,-68.0,-62.0,-62.0,-62.0,-89.0,-91.0,-91.0,-53.0,-52.0,-52.0,-76.0,-76.0,-74.0,,-63.0,-63.0,-63.0,-49.0,-50.0,-84.0,-46.0,-84.0,-84.0,-68.0,-65.0,-66.0,,,,,,,,-87.0,-86.0,-84.0,,,,,,44.43493749997997,26.047907971715468
17:32:15:01,-68.0,-62.0,-62.0,-62.0,-89.0,-91.0,-91.0,-53.0,-52.0,-52.0,-76.0,-76.0,-74.0,,-63.0,-63.0,-63.0,-49.0,-50.0,-84.0,-46.0,-84.0,-84.0,-68.0,-65.0,-66.0,,,,,,,,-87.0,-86.0,-84.0,,,,,,44.43493749997976,26.047900546072068
17:32:18:00,-67.0,-59.0,-60.0,-59.0,-83.0,-87.0,-82.0,-55.0,-56.0,-55.0,-74.0,-74.0,-75.0,,-62.0,-62.0,-62.0,-42.0,-42.0,-84.0,-42.0,-84.0,-83.0,-74.0,-74.0,-75.0,,,,,,,,-88.0,-86.0,-87.0,,,,,,44.43493749997913,26.047887552985138
17:32:19:00,-68.0,-57.0,-57.0,-57.0,-87.0,-90.0,-89.0,-49.0,-48.0,-48.0,-63.0,-63.0,-63.0,,-60.0,-60.0,-60.0,-48.0,-48.0,-82.0,-48.0,-83.0,-82.0,-61.0,-61.0,-61.0,,,,,,,,-93.0,-94.0,-91.0,,,,,,44.43493974828299,26.047884881375563
17:32:20:00,-66.0,-58.0,-58.0,-58.0,-94.0,-95.0,-96.0,-45.0,-45.0,-45.0,-60.0,-60.0,-59.0,-94.0,-59.0,,-59.0,-44.0,-44.0,,-45.0,-81.0,-81.0,-59.0,-58.0,-59.0,-95.0,-96.0,,,,,,-98.0,,,,,,,,44.43494199658652,26.04787606506328
17:32:21:00,-67.0,-52.0,-52.0,-52.0,-87.0,-84.0,-85.0,-54.0,-54.0,-53.0,-79.0,-79.0,-79.0,-96.0,-55.0,-56.0,-55.0,-45.0,-46.0,-83.0,-47.0,-83.0,-83.0,-76.0,-75.0,-75.0,-96.0,-95.0,,,,,,-93.0,-90.0,-93.0,,,,,,44.43494199658562,26.0478596919119
17:32:22:00,-61.0,-55.0,-55.0,-55.0,-83.0,-82.0,-82.0,-52.0,-52.0,-52.0,-80.0,-80.0,-80.0,,-61.0,-61.0,-60.0,-51.0,-51.0,-82.0,-52.0,-81.0,-81.0,-77.0,-78.0,-78.0,,,,,,,,-93.0,-94.0,-93.0,,,,,,44.43494199658477,26.047844298350775
17:32:23:00,-68.0,-52.0,-52.0,-52.0,-88.0,-88.0,-89.0,-58.0,-58.0,-58.0,-85.0,-85.0,-85.0,,-55.0,-55.0,-55.0,-55.0,-55.0,-85.0,-55.0,-84.0,-84.0,-83.0,-82.0,-83.0,-94.0,-92.0,,,,,,-94.0,,-93.0,,,,,,44.43494199658393,26.047829104706025
17:32:24:00,-72.0,-52.0,-52.0,-52.0,-89.0,-89.0,-86.0,-65.0,-65.0,-65.0,-85.0,-86.0,-86.0,-99.0,-56.0,-57.0,-57.0,-52.0,-52.0,-85.0,-51.0,-86.0,-85.0,-81.0,-81.0,-81.0,-95.0,-93.0,,,,,,-94.0,-92.0,-95.0,,,,,,44.43494199658294,26.047811112231983
17:32:25:00,-72.0,-52.0,-52.0,-52.0,-89.0,-89.0,-86.0,-65.0,-65.0,-65.0,-85.0,-86.0,-86.0,-99.0,-56.0,-57.0,-57.0,-52.0,-52.0,-85.0,-51.0,-86.0,-85.0,-81.0,-81.0,-81.0,-95.0,-93.0,,,,,,-94.0,-92.0,-95.0,,,,,,44.434941996582154,26.047796718252748
17:32:26:00,-64.0,-52.0,-52.0,-52.0,-83.0,-83.0,-83.0,-61.0,-60.0,-61.0,-91.0,-93.0,-92.0,-91.0,-52.0,-52.0,-52.0,-55.0,-56.0,-79.0,-55.0,-78.0,-78.0,-87.0,-87.0,-86.0,-91.0,-89.0,,,,,,-96.0,,-97.0,,,,,,44.434941996581315,26.047779085628186
17:32:27:00,-66.0,-50.0,-50.0,-50.0,-84.0,-83.0,-84.0,-68.0,-68.0,-68.0,-87.0,-87.0,-87.0,-87.0,-50.0,-50.0,-50.0,-54.0,-54.0,-79.0,-54.0,-79.0,-79.0,-87.0,-87.0,-88.0,-84.0,-86.0,,,,,,-96.0,,-97.0,,,,,,44.43494199658071,26.047764331799474
17:32:28:00,-61.0,-42.0,-43.0,-43.0,-75.0,-75.0,-70.0,-68.0,-69.0,-68.0,-93.0,-93.0,-93.0,-84.0,-45.0,-44.0,-44.0,-60.0,-60.0,-72.0,-56.0,-73.0,-72.0,-85.0,-84.0,-85.0,-84.0,-84.0,,,,,,,,-96.0,,,,,,44.43494199658015,26.047749488008392
17:32:29:00,-59.0,-45.0,-45.0,-44.0,-60.0,-60.0,-60.0,-65.0,-65.0,-64.0,-84.0,-84.0,-83.0,-88.0,-48.0,-48.0,-49.0,-56.0,-56.0,-56.0,-56.0,-57.0,-57.0,-83.0,-83.0,-83.0,-89.0,-89.0,,,,,,,,,,,,,,44.43494199657962,26.04773217025213
17:32:30:00,-59.0,-50.0,-50.0,-50.0,-64.0,-65.0,-64.0,-67.0,-66.0,-67.0,-85.0,-85.0,-87.0,-79.0,-47.0,-47.0,-47.0,-64.0,-64.0,-59.0,-64.0,-59.0,-59.0,-86.0,-85.0,-85.0,-79.0,-79.0,-94.0,-96.0,-94.0,,,,,-96.0,,,,,,44.434941996578786,26.047716951617833
17:32:31:00,-55.0,-43.0,-43.0,-43.0,-66.0,-67.0,-67.0,-65.0,-65.0,-65.0,-87.0,-88.0,-87.0,-86.0,-44.0,-44.0,-43.0,-57.0,-57.0,-61.0,-57.0,-61.0,-60.0,-83.0,-84.0,-83.0,-85.0,-87.0,,,,,,,,,,,,,,44.43494199657801,26.047702957471355
17:32:32:00,-58.0,-39.0,-39.0,-39.0,,,,-68.0,-67.0,-67.0,-90.0,-91.0,-90.0,-87.0,-46.0,-47.0,-47.0,-63.0,-63.0,-54.0,-64.0,-55.0,-54.0,-87.0,-87.0,-88.0,-87.0,-87.0,,,,,,,,,,,,,,44.434938784714745,26.047695960398116
17:32:33:00,-54.0,-42.0,-42.0,-42.0,,,,-64.0,-64.0,-64.0,-91.0,-91.0,-91.0,-86.0,-46.0,-46.0,-45.0,-65.0,-64.0,-68.0,-64.0,-68.0,-67.0,-88.0,-87.0,-88.0,-86.0,-81.0,,,,,,,,,,,,,,44.43493749996913,26.047687563910873
17:32:34:00,-54.0,-54.0,-54.0,-54.0,-89.0,-90.0,-88.0,-80.0,-79.0,-79.0,-90.0,-92.0,-92.0,-84.0,-51.0,-52.0,-51.0,-72.0,-72.0,-77.0,-71.0,-76.0,-76.0,-87.0,-87.0,-86.0,-85.0,-84.0,,,,,,,,,,,,,,44.43493749996882,26.047680666796357
17:32:38:00,-50.0,-71.0,-68.0,-68.0,-78.0,-78.0,-78.0,-81.0,-81.0,-80.0,-95.0,-95.0,-94.0,,-48.0,-48.0,-48.0,-63.0,-64.0,-75.0,-63.0,-75.0,-75.0,-86.0,-86.0,-87.0,,,,,,,,,,,,,,,,44.434937499968164,26.04766699251714
17:32:39:00,-58.0,-57.0,-56.0,-57.0,-74.0,-74.0,-75.0,-73.0,-73.0,-73.0,-91.0,-91.0,-92.0,-91.0,-55.0,-55.0,-55.0,-66.0,-66.0,-74.0,-66.0,-75.0,-75.0,-90.0,-90.0,-88.0,-92.0,-92.0,,,,,,,,,,,,,-98.0,44.434937499967866,26.04766167474189
17:32:40:00,-50.0,-50.0,-50.0,-50.0,-76.0,-76.0,-76.0,-80.0,-79.0,-80.0,-93.0,-93.0,-91.0,-90.0,-53.0,-53.0,-54.0,-64.0,-64.0,-71.0,-64.0,-72.0,-72.0,-87.0,-87.0,-87.0,-90.0,-91.0,,,,,,,,,,,,,,44.4349374999671,26.047647680596487
17:32:41:00,-51.0,-57.0,-56.0,-56.0,-82.0,-82.0,-81.0,-81.0,-82.0,-81.0,-93.0,-92.0,-94.0,-92.0,-57.0,-57.0,-57.0,-68.0,-68.0,-72.0,-68.0,-72.0,-71.0,,-91.0,-91.0,-92.0,-93.0,,,,,,,,,,,,,,44.434937499966246,26.047632087120185
17:32:42:00,-47.0,-63.0,-63.0,-63.0,-74.0,-74.0,-74.0,-76.0,-76.0,-76.0,-91.0,-91.0,-92.0,-93.0,-55.0,-56.0,-55.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-88.0,-88.0,-88.0,-92.0,-94.0,,,,,,,,,,,,,,44.43493749996546,26.047617873066788
17:32:43:00,-47.0,-63.0,-63.0,-63.0,-74.0,-74.0,-74.0,-76.0,-76.0,-76.0,-91.0,-91.0,-92.0,-93.0,-55.0,-56.0,-55.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-88.0,-88.0,-88.0,-92.0,-94.0,,,,,,,,,,,,,,44.43493749996457,26.047601677307245
