,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
15:15:40:00,-81.0,-73.0,-73.0,-73.0,,,,-60.0,-60.0,-60.0,-82.0,-81.0,-81.0,,-74.0,-74.0,-73.0,-53.0,-53.0,,-53.0,,-86.0,-75.0,-75.0,-75.0,,,,,,,,,,,,,,,,44.43488611017554,26.04794155766443
15:15:41:00,-78.0,-82.0,-81.0,-81.0,-87.0,-85.0,-87.0,-59.0,-59.0,-59.0,-84.0,-75.0,-77.0,,-72.0,-71.0,-72.0,-56.0,-56.0,,-56.0,,,-78.0,-76.0,-76.0,,,,,,,,-91.0,-91.0,-91.0,,,,,,44.434897530132446,26.04794155766443
15:15:42:00,-75.0,-77.0,-78.0,-77.0,-87.0,-86.0,-86.0,-65.0,-65.0,-65.0,-79.0,-77.0,-77.0,,-72.0,-72.0,-72.0,-59.0,-59.0,,-59.0,,,-73.0,-72.0,-72.0,,,,,,,,-90.0,,,,,,,,44.434907522594735,26.04794155766443
15:15:43:00,-75.0,-66.0,-68.0,-66.0,,,,-59.0,-58.0,-59.0,-71.0,-71.0,-71.0,,-69.0,-69.0,-66.0,-54.0,-56.0,-84.0,-55.0,-86.0,-85.0,-75.0,-75.0,-74.0,,,,,,,,,,,,,,,,44.434917515057016,26.04794155766443
15:15:44:00,-70.0,-66.0,-66.0,-69.0,,,,-60.0,-60.0,-61.0,-72.0,-72.0,-72.0,,-62.0,-62.0,-62.0,-51.0,-53.0,-86.0,-52.0,-85.0,-84.0,-76.0,-75.0,-75.0,,,,,,,,,,,,,,,,44.43492850676553,26.04794155766443
15:15:45:00,-79.0,-80.0,-79.0,-79.0,-90.0,-90.0,-92.0,-60.0,-60.0,-61.0,-84.0,-87.0,-85.0,,-59.0,-61.0,-61.0,-45.0,-45.0,-82.0,-46.0,-83.0,-83.0,-73.0,-72.0,-73.0,,,,,,,,,,,,,,,,44.43493749998159,26.04794155766443
15:15:46:00,-72.0,-64.0,-63.0,-63.0,-89.0,-91.0,-89.0,-55.0,-55.0,-55.0,-73.0,-73.0,-74.0,,-58.0,-58.0,-58.0,-46.0,-46.0,-86.0,-47.0,-84.0,-83.0,-72.0,-72.0,-72.0,,,,,,,,-87.0,-87.0,-88.0,,,,,,44.43493749998121,26.04793166180447
15:15:47:00,-72.0,-64.0,-63.0,-63.0,-89.0,-91.0,-89.0,-55.0,-55.0,-55.0,-73.0,-73.0,-74.0,,-58.0,-58.0,-58.0,-46.0,-46.0,-86.0,-47.0,-84.0,-83.0,-72.0,-72.0,-72.0,,,,,,,,-87.0,-87.0,-88.0,,,,,,44.43493749998038,26.04791636820271
15:15:48:00,-65.0,-59.0,-59.0,-59.0,-85.0,-87.0,-87.0,-50.0,-49.0,-49.0,-72.0,-72.0,-71.0,,-60.0,-60.0,-60.0,-47.0,-48.0,-80.0,-44.0,-80.0,-80.0,-65.0,-62.0,-63.0,,,,,,,,-83.0,-82.0,-80.0,,,,,,44.43493749997995,26.047907208398446
15:15:49:00,-65.0,-59.0,-59.0,-59.0,-85.0,-87.0,-87.0,-50.0,-49.0,-49.0,-72.0,-72.0,-71.0,,-60.0,-60.0,-60.0,-47.0,-48.0,-80.0,-44.0,-80.0,-80.0,-65.0,-62.0,-63.0,,,,,,,,-83.0,-82.0,-80.0,,,,,,44.43493749997977,26.047900624789136
15:15:53:00,-64.0,-56.0,-57.0,-56.0,-79.0,-83.0,-78.0,-52.0,-53.0,-52.0,-71.0,-71.0,-72.0,,-59.0,-59.0,-59.0,-40.0,-40.0,-80.0,-40.0,-80.0,-79.0,-71.0,-71.0,-72.0,,,,,,,,-84.0,-82.0,-83.0,,,,,,44.434937499979036,26.047885850201013
15:15:54:00,-65.0,-54.0,-54.0,-54.0,-83.0,-86.0,-85.0,-47.0,-46.0,-46.0,-60.0,-60.0,-60.0,,-57.0,-57.0,-57.0,-46.0,-46.0,-78.0,-46.0,-79.0,-78.0,-58.0,-58.0,-58.0,,,,,,,,-89.0,-90.0,-87.0,,,,,,44.43494199658701,26.047884881375563
15:15:55:00,-64.0,-58.0,-58.0,-56.0,-81.0,-78.0,-77.0,-43.0,-43.0,-43.0,-59.0,-59.0,-59.0,-92.0,-59.0,-59.0,-59.0,-43.0,-43.0,-77.0,-44.0,-77.0,-77.0,-61.0,-61.0,-62.0,-92.0,-91.0,,,,,,-80.0,-80.0,-80.0,,,,,,44.434941996586375,26.04787343161935
15:15:56:00,-64.0,-49.0,-49.0,-49.0,-83.0,-80.0,-81.0,-51.0,-51.0,-50.0,-75.0,-75.0,-75.0,,-52.0,-53.0,-52.0,-43.0,-44.0,-79.0,-45.0,-79.0,-79.0,-72.0,-72.0,-72.0,,,,,,,,-89.0,-86.0,-89.0,,,,,,44.43494199658554,26.047858292497253
15:15:57:00,-58.0,-52.0,-52.0,-52.0,-79.0,-78.0,-78.0,-49.0,-49.0,-49.0,-76.0,-76.0,-76.0,,-58.0,-58.0,-57.0,-48.0,-48.0,-78.0,-49.0,-77.0,-77.0,-73.0,-74.0,-74.0,,,,,,,,-89.0,-90.0,-89.0,,,,,,44.43494199658477,26.047844298350775
15:15:58:00,-65.0,-49.0,-49.0,-49.0,-84.0,-84.0,-85.0,-55.0,-55.0,-55.0,-81.0,-81.0,-81.0,,-52.0,-52.0,-52.0,-52.0,-52.0,-81.0,-52.0,-80.0,-80.0,-79.0,-78.0,-79.0,-90.0,-88.0,,,,,,-90.0,,-89.0,,,,,,44.43494199658402,26.04783072402869
15:15:59:00,-69.0,-49.0,-49.0,-49.0,-85.0,-85.0,-82.0,-62.0,-62.0,-62.0,-81.0,-82.0,-82.0,-95.0,-53.0,-54.0,-54.0,-49.0,-49.0,-81.0,-48.0,-82.0,-81.0,-77.0,-77.0,-77.0,-91.0,-89.0,,,,,,-90.0,-88.0,-91.0,,,,,,44.43494199658328,26.047817184691972
15:16:00:00,-69.0,-49.0,-49.0,-49.0,-85.0,-85.0,-82.0,-62.0,-62.0,-62.0,-81.0,-82.0,-82.0,-95.0,-53.0,-54.0,-54.0,-49.0,-49.0,-81.0,-48.0,-82.0,-81.0,-77.0,-77.0,-77.0,-91.0,-89.0,,,,,,-90.0,-88.0,-91.0,,,,,,44.434941996582495,26.047803015618662
15:16:01:00,-61.0,-49.0,-49.0,-49.0,-79.0,-79.0,-79.0,-58.0,-57.0,-58.0,-87.0,-89.0,-88.0,-87.0,-49.0,-49.0,-49.0,-52.0,-53.0,-75.0,-52.0,-74.0,-74.0,-83.0,-83.0,-82.0,-87.0,-85.0,,,,,,-92.0,-88.0,-93.0,,,,,,44.43494199658172,26.04778884654535
15:16:02:00,-61.0,-49.0,-49.0,-49.0,-79.0,-79.0,-79.0,-58.0,-57.0,-58.0,-87.0,-89.0,-88.0,-87.0,-49.0,-49.0,-49.0,-52.0,-53.0,-75.0,-52.0,-74.0,-74.0,-83.0,-83.0,-82.0,-87.0,-85.0,,,,,,-92.0,,-93.0,,,,,,44.43494199658122,26.04777572703303
15:16:03:00,-63.0,-48.0,-48.0,-48.0,-80.0,-79.0,-80.0,-65.0,-65.0,-65.0,-83.0,-83.0,-83.0,-83.0,-48.0,-48.0,-48.0,-51.0,-51.0,-75.0,-51.0,-75.0,-75.0,-83.0,-83.0,-84.0,-80.0,-82.0,,,,,,-92.0,,-93.0,,,,,,44.43494199658041,26.047758934057264
15:16:04:00,-58.0,-40.0,-41.0,-41.0,-72.0,-72.0,-67.0,-65.0,-66.0,-65.0,-89.0,-89.0,-89.0,-80.0,-43.0,-42.0,-42.0,-57.0,-57.0,-69.0,-53.0,-70.0,-69.0,-81.0,-80.0,-81.0,-80.0,-80.0,,,,,,,,-92.0,,,,,,44.434941996580115,26.047748438447407
15:16:05:00,-56.0,-43.0,-43.0,-42.0,-57.0,-57.0,-57.0,-62.0,-62.0,-61.0,-80.0,-80.0,-79.0,-84.0,-46.0,-46.0,-47.0,-53.0,-53.0,-53.0,-53.0,-54.0,-54.0,-79.0,-79.0,-79.0,-85.0,-85.0,,,,,,,,,,,,,,44.43494199657963,26.047732485120424
15:16:06:00,-56.0,-48.0,-48.0,-48.0,-61.0,-62.0,-61.0,-64.0,-63.0,-64.0,-81.0,-81.0,-83.0,-75.0,-45.0,-45.0,-45.0,-61.0,-61.0,-56.0,-61.0,-56.0,-56.0,-82.0,-81.0,-81.0,-75.0,-75.0,-90.0,-92.0,-90.0,,,,,-92.0,,,,,,44.43494199657893,26.047719575520297
15:16:07:00,-52.0,-41.0,-41.0,-41.0,-63.0,-64.0,-64.0,-62.0,-62.0,-62.0,-83.0,-84.0,-83.0,-82.0,-42.0,-42.0,-41.0,-54.0,-54.0,-58.0,-54.0,-58.0,-57.0,-79.0,-80.0,-79.0,-81.0,-83.0,,,,,,,,,,,,,,44.43494199657813,26.047705120203084
15:16:08:00,-55.0,-37.0,-37.0,-37.0,,,,-65.0,-64.0,-64.0,-86.0,-87.0,-86.0,-83.0,-44.0,-45.0,-45.0,-60.0,-60.0,-51.0,-61.0,-52.0,-51.0,-83.0,-83.0,-84.0,-83.0,-83.0,,,,,,,,,,,,,,44.43494109725602,26.047695960398116
15:16:09:00,-51.0,-40.0,-40.0,-40.0,,,,-61.0,-61.0,-61.0,-87.0,-87.0,-87.0,-82.0,-44.0,-44.0,-43.0,-62.0,-61.0,-65.0,-61.0,-65.0,-64.0,-84.0,-83.0,-84.0,-82.0,-77.0,,,,,,,,,,,,,,44.43493749996945,26.047693441451944
15:16:11:00,-51.0,-51.0,-51.0,-51.0,-85.0,-86.0,-84.0,-76.0,-75.0,-75.0,-86.0,-88.0,-88.0,-80.0,-48.0,-49.0,-48.0,-69.0,-69.0,-73.0,-68.0,-72.0,-72.0,-83.0,-83.0,-82.0,-81.0,-80.0,,,,,,,,,,,,,,44.43493749996873,26.047677552714553
15:16:15:00,-48.0,-68.0,-65.0,-65.0,-74.0,-74.0,-74.0,-77.0,-77.0,-76.0,-91.0,-91.0,-90.0,,-46.0,-46.0,-46.0,-60.0,-61.0,-72.0,-60.0,-72.0,-72.0,-82.0,-82.0,-83.0,,,,,,,,,,,,,,,,44.43493749996813,26.047666390160447
15:16:16:00,-55.0,-54.0,-53.0,-54.0,-71.0,-71.0,-72.0,-70.0,-70.0,-70.0,-87.0,-87.0,-88.0,-87.0,-52.0,-52.0,-52.0,-63.0,-63.0,-71.0,-63.0,-72.0,-72.0,-86.0,-86.0,-84.0,-88.0,-88.0,,,,,,,,,,,,,-94.0,44.434937499967724,26.04765907582917
15:16:17:00,-48.0,-48.0,-48.0,-48.0,-72.0,-72.0,-72.0,-76.0,-75.0,-76.0,-89.0,-89.0,-87.0,-86.0,-50.0,-50.0,-51.0,-61.0,-61.0,-68.0,-61.0,-69.0,-69.0,-83.0,-83.0,-83.0,-86.0,-87.0,,,,,,,,,,,,,,44.434937499966864,26.047643482352868
15:16:18:00,-48.0,-54.0,-53.0,-53.0,-78.0,-78.0,-77.0,-77.0,-78.0,-77.0,-89.0,-88.0,-90.0,-88.0,-54.0,-54.0,-54.0,-65.0,-65.0,-69.0,-65.0,-69.0,-68.0,,-87.0,-87.0,-88.0,-89.0,,,,,,,,,,,,,,44.434937499966104,26.04762948820747
15:16:19:00,-45.0,-60.0,-60.0,-60.0,-71.0,-71.0,-71.0,-72.0,-72.0,-72.0,-87.0,-87.0,-88.0,-89.0,-52.0,-53.0,-52.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-84.0,-84.0,-84.0,-88.0,-90.0,,,,,,,,,,,,,,44.43493749996533,26.047615494062068
15:16:20:00,-45.0,-60.0,-60.0,-60.0,-71.0,-71.0,-71.0,-72.0,-72.0,-72.0,-87.0,-87.0,-88.0,-89.0,-52.0,-53.0,-52.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-84.0,-84.0,-84.0,-88.0,-90.0,,,,,,,,,,,,,,44.43493749996456,26.04760149991667
