,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total,lat,long
14:25:53:12,1.709732,-0.9283447,7.7957764,0.033721924,0.18260193,-0.5001526,37.05037466666666,-6.050109866666666,-278.05024000000003,8.034870071920208,0.5335103150687405,280.5733909424283,44.434894512422204,26.047695960467895
14:25:53:13,1.254837,-0.9690399,7.7239532,-0.024871826,0.28379822,-0.5384979,37.200419333333336,-5.799865733333333,-278.30048,7.884992533931231,0.6092126276663613,280.83593868639207,44.43489460235436,26.047695960467895
14:25:53:14,0.6323395,-0.957077,7.647339,-0.102645874,0.3019104,-0.54914856,37.350464,-5.5496216,-278.55072,7.732893598654403,0.6350198469555558,281.09848643035576,44.43489469228653,26.047695960467895
14:25:53:15,0.32588196,-0.93551636,7.7215576,-0.13885498,0.26782227,-0.5278473,37.5,-4.799652099999999,-277.950285,7.784846927319692,0.6079738858668547,280.51069039367644,44.434894782218684,26.047695960467895
14:25:53:16,0.12716675,-0.8828583,7.884369,-0.15164185,0.19325256,-0.48736572,37.649536,-4.0496826,-277.34985,7.934663489294644,0.5457720656547883,279.92289435699706,44.43489487215085,26.047695960467895
14:25:53:17,0.024215698,-0.7822876,8.166885,-0.14205933,0.1101532,-0.44688416,37.874603,-4.0496826,-277.950285,8.20430197471841,0.48168457850464186,280.54815387207964,44.43489496208301,26.047695960467895
14:25:53:18,-0.0045166016,-0.6985016,8.303345,-0.12287903,0.078201294,-0.426651,38.09967,-4.0496826,-278.55072,8.332674425052113,0.4508278764650821,281.17341338716227,44.434895052015165,26.047695960467895
14:25:53:19,0.06251526,-0.6434326,8.315323,-0.051498413,0.04197693,-0.35740662,37.1246335,-4.4250488,-277.79999,8.340414274051657,0.3635294227618555,280.3061844105249,44.43489514194733,26.047695960467895
14:25:53:20,0.15110779,-0.4566803,8.073502,-0.016357422,0.06434631,-0.3201294,36.149597,-4.800415,-277.04926,8.087819545749692,0.3269416547481556,279.4389554338876,44.43489523187949,26.047695960467895
14:25:53:21,0.13674164,-0.30345153999999996,7.740707499999999,-0.0120925905,0.09044647,-0.302017215,36.9750985,-4.35028075,-277.27432999999996,7.74913303402095,0.31696875637852717,279.7641255113539,44.43489532181165,26.047695960467895
14:25:53:22,0.12237549,-0.15022278,7.407913,-0.007827759,0.11654663,-0.28390503,37.8006,-3.9001465,-277.4994,7.410446522292207,0.30699585800889867,280.0892955888201,44.43489541174381,26.047695960467895
14:25:53:23,0.28518677,0.25679016,6.739929,-0.036590576,0.113357544,-0.2689972,37.274934,-4.05044555,-277.12478999999996,6.750845547418254,0.294190918693225,279.65017874121986,44.434895501675975,26.047695960467895
14:25:53:24,0.18461609,0.4363556,6.706421,-0.15164185,0.030258179,-0.27644348,36.749268,-4.2007446,-276.75018,6.723137060894954,0.3167519624285364,279.21106189361956,44.43489559160813,26.047695960467895
14:25:53:25,0.15589905,0.4794464,6.7495117,-0.23100281,-0.04164123550000001,-0.28337097,37.7998355,-4.2755128,-276.675415,6.768314528204253,0.378313668303934,279.2803303367354,44.43489568154029,26.047695960467895
14:25:53:26,0.22532654,0.5584564,6.9506226,-0.31036377,-0.11354065,-0.29029846,38.850403,-4.350281,-276.60065,6.976661101699014,0.4398753741793316,279.34959877985125,44.434895771472455,26.047695960467895
14:25:53:27,0.28996277,0.65182495,7.4270782,-0.3955841,-0.16362,-0.3062744,36.7500315,-3.8253785000000002,-276.97524999999996,7.461262946870578,0.5263670702733693,279.43748340730264,44.43489586140461,26.047695960467895
14:25:53:28,0.38095093,0.65182495,8.001678,-0.45950317,-0.18385315,-0.32757568,34.64966,-3.300476,-277.34985,8.037216569944745,0.5935073463171571,279.525368034754,44.43489595133678,26.047695960467895
14:25:53:29,0.36897278,0.62550354,8.351227,-0.47868347,-0.18066406,-0.34461975,35.774995,-2.7000427,-277.34985,8.382743464788986,0.6168793553985957,279.663525695299,44.434896041268935,26.047695960467895
14:25:53:30,0.08406067,0.59677124,9.17244,-0.4840088,-0.107162476,-0.379776,36.90033,-2.0996094,-277.34985,9.192217233221372,0.624482285510078,279.801683355844,44.43489613120109,26.047695960467895
14:25:53:31,-0.18647766,0.5704346,9.304123,-0.47229004,-0.030456543,-0.38191223,37.350463999999995,-2.0497639999999997,-277.14996,9.32345828272349,0.6081467210454113,279.66374647188826,44.43489622113326,26.047695960467895
14:25:53:32,-0.5132827799999999,0.59915925,9.413063000000001,-0.46909332000000004,0.011085510000000003,-0.36220550500000004,37.800598,-1.9999186,-276.95007,9.451523682978708,0.5943898759762565,279.5258095879326,44.434896311065415,26.047695960467895
14:25:53:33,-0.8400879,0.6278839,9.522003,-0.4658966,0.052627563,-0.34249878,38.250732,-1.9500732,-276.75018,9.579589083233927,0.5806330309071017,279.3878727039769,44.43489640099758,26.047695960467895
14:25:53:34,-0.93826294,0.6207123,9.555511,-0.4658966,0.06008911,-0.32118225,37.5,-0.90026855,-277.4994,9.621507759965155,0.5690592067150962,280.0231731193369,44.43489649092974,26.047695960467895
14:25:53:35,-1.2064056,0.5417023,9.933807,-0.4424591,0.04197693,-0.22105408,37.049865,-1.1253356749999999,-277.050025,10.021445872067845,0.49638394827963694,279.51900876742917,44.434896580861896,26.047695960467895
14:25:53:36,-1.1537323,0.51297,10.130127,-0.38919067,0.010025024,-0.13902283,36.59973,-1.3504028,-276.60065,10.20851161908984,0.41339717703736,279.01484441552145,44.43489667079406,26.047695960467895
14:25:53:37,-1.0052948,0.59078218,10.031967,-0.30716705,-0.072532653,-0.07138061664999999,36.824798,-1.1253356749999999,-276.900485,10.100798223155458,0.34340680900203946,279.34082349495543,44.43489676072622,26.047695960467895
14:25:53:38,-0.8568573,0.66859436,9.933807,-0.22514343,-0.15509033,-0.0037384033,37.049866,-0.90026855,-277.20032,9.993084827221075,0.27341644096671885,279.66680257438935,44.43489685065838,26.047695960467895
14:25:53:39,-0.7395325,0.6901398,9.790146,-0.20170593,-0.1913147,0.019699097,37.049866,-0.90026855,-277.20032,9.84226396533929,0.278701724170968,279.66680257438935,44.43489694059054,26.047695960467895
14:25:53:40,-0.42590332,0.9295654,9.790146,-0.20809937,-0.2893219,0.06550598,37.049866,-0.90026855,-277.20032,9.843395967458598,0.3623583075213915,279.66680257438935,44.434897030522706,26.047695960467895
14:25:53:41,-0.29901123,0.9104004,10.118149,-0.24111938,-0.31488037,0.06550598,37.000020666666664,-0.4999796533333333,-276.6499866666667,10.163423428657653,0.40196919812179854,279.11429067305704,44.43489712045486,26.047695960467895
14:25:53:42,-0.25830078,0.7811127,10.647278,-0.27734375,-0.3202057,0.060180664,36.950175333333334,-0.0996907566666666,-276.0996533333333,10.67901611349725,0.4278702587187305,278.5617787717248,44.43489721038702,26.047695960467895
14:25:53:43,-0.34210205,0.5584564,11.382294,-0.29652405,-0.30741882,0.062301636,36.90033,0.30059814,-275.54932,11.4011194216073,0.4316414449133347,278.0092668703925,44.434897300319186,26.047695960467895
14:25:53:44,-0.3253479,0.43875122,11.715088,-0.29118347,-0.2935791,0.07295227,36.749268,0.45013428,-276.1505,11.727814832134326,0.41987919078730707,278.585372856609,44.43489739025134,26.047695960467895
14:25:53:45,-0.24873352,0.18496704,12.627274,-0.23579407,-0.27546692,0.11024475,35.999299,0.299835205,-277.05001000000004,12.63107793661863,0.3789917840323373,279.38058142170985,44.43489748018351,26.047695960467895
14:25:53:46,-0.23675537,0.14186096,12.828384,-0.19958496,-0.27546692,0.1219635,35.24933,0.14953613,-277.94952,12.831352761445379,0.3613741490543257,280.17578998681074,44.434897570115666,26.047695960467895
14:25:53:47,-0.2750702,-0.14065552,13.1132965,-0.08665466,-0.27120972,0.16030884,36.824799999999996,0.599670415,-277.124785,13.116935338986266,0.32674556845401836,279.5667468455621,44.434897660047824,26.047695960467895
14:25:53:48,-0.18887329,-0.23162842,13.077393,-0.034454346,-0.23391724,0.18907166,38.40027,1.0498047,-276.30005,13.080807793140153,0.30274158905353743,278.9577037043135,44.43489774997999,26.047695960467895
14:25:53:49,0.005065918,-0.27711487,13.051056,-0.008895874,-0.17106628,0.21783447,37.200165,1.3496399000000001,-276.225275,13.053998660557474,0.2771185036179345,278.7248784905847,44.434897839912146,26.047695960467895
14:25:53:50,0.38334656,-0.3369751,12.984009,0.008148193,-0.08584595,0.21890259,36.00006,1.6494751,-276.1505,12.99403695989683,0.23527486922592444,278.49205327685587,44.43489792984431,26.047695960467895
14:25:53:51,0.43841553,-0.2795105,12.696716,0.014541626,0.02067566,0.17948914,36.524963,2.0248413000000003,-276.1505,12.707357375993304,0.18126029124190182,278.56360648471923,44.43489801977647,26.047695960467895
14:25:53:52,0.27799988,-0.09994507,12.363922,-0.02168274,0.10482788,0.13900757,37.049866,2.4002075,-276.1505,12.367450835656527,0.17544836891948268,278.63515969258265,44.43489810970863,26.047695960467895
14:25:53:53,0.21813965,-0.15261841,12.2274475,-0.08558655,0.12187195,0.09213257,37.15006533333334,1.8000284666666668,-276.45008666666666,12.230345442841314,0.17511778948042345,278.94219713888936,44.43489819964079,26.047695960467895
14:25:53:54,0.16067505,-0.2220459,12.294479,-0.12287903,0.10803223,0.0708313,37.250264666666666,1.1998494333333334,-276.74967333333336,12.297533685045972,0.17828990939535475,279.249234585196,44.43489828957295,26.047695960467895
14:25:53:55,-0.2894287,-0.5428772,12.684738,-0.20809937,0.004699707,0.03993225,37.350464,0.5996704,-277.04926,12.69964813509837,0.21194815316568638,279.5562720315027,44.434898379505114,26.047695960467895
14:25:53:56,-0.4163208,-0.6697693,13.053452,-0.23579407,-0.09970093,0.051651,38.850403,2.8503418,-275.8499,13.077252121146826,0.2611645931037165,278.58687261184656,44.43489846943727,26.047695960467895
14:25:53:57,-0.36364746,-0.8876343,14.173935,-0.2230072,-0.25628662,0.08255005,37.5,3.0754089000000002,-275.8499,14.206356588158906,0.34961343452142524,278.4074667226097,44.43489855936943,26.047695960467895
14:25:53:58,-0.25350952,-0.9953766,14.602493,-0.18786621,-0.28292847,0.095336914,36.149597,3.300476,-275.8499,14.638573819454107,0.3527482943507288,278.22806083337275,44.434898649301594,26.047695960467895
14:25:53:59,-0.31097412,-1.1462097,15.356674,-0.05895996,-0.27972412,0.11557007,36.8247985,3.7506103,-275.62484,15.402530244150142,0.3083476954231714,278.1004821658073,44.43489873923375,26.047695960467895
14:25:53:60,-0.52885437,-1.5747681,15.497925,0.15408325,-0.15934753,0.16351318,37.5,4.2007446,-275.39978,15.586701409184393,0.27544480986465475,277.9729034982418,44.43489882916592,26.047695960467895
14:25:53:61,-0.5623703,-1.83933255,14.3475115,0.390045175,0.10749817000000003,0.27163696,36.5249635,3.3004760500000003,-275.025175,14.481864340059284,0.5488903882135936,277.46252721621494,44.434898919098075,26.047695960467895
14:25:53:62,-0.59588623,-2.103897,13.197098,0.6260071,0.37434387,0.37976074,35.549927,2.4002075,-274.65057,13.377027270934175,0.8223359665625325,276.95215093418807,44.43489900903024,26.047695960467895
14:25:53:63,-0.45463562,-1.7830658,11.152451,0.76875305,0.57673645,0.48095703,36.049906666666665,2.649943,-274.75026333333335,11.303237611476785,1.0746747644517043,277.11895297321274,44.4348990989624,26.047695960467895
14:25:53:64,-0.2080307,-1.58075715,9.5208055,0.756500245,0.553840625,0.5384826650000001,36.54988633333333,2.8996785000000003,-274.8499566666667,9.656005579740151,1.0830095654692542,277.2857550122375,44.434899188894555,26.047695960467895
14:25:53:65,0.03857422,-1.3784485,7.88916,0.74424744,0.5309448,0.5960083,37.049866,3.149414,-274.94965,8.008773548003518,1.091344366486804,277.45255705126215,44.43489927882672,26.047695960467895
14:25:53:66,0.3210907,-1.1438141,7.2594757,0.6217346,0.31681824,0.5949402,37.5,2.6992798,-274.20044,7.356044954449082,0.9169959387095985,276.76599756406546,44.43489936875888,26.047695960467895
14:25:53:67,0.5964203,-1.0983276,7.228348,0.48965454,0.082458496,0.5715027,38.700103999999996,1.6494750999999999,-274.87488,7.335601918062202,0.757084082656929,277.5949001729468,44.43489945869104,26.047695960467895
14:25:53:68,0.77838135,-1.2036743,7.647339,0.37779236,-0.102890015,0.53315735,39.900208,0.5996704,-275.54932,7.780520749116302,0.6614908784859337,278.4238027818281,44.4348995486232,26.047695960467895
14:25:53:69,0.8310547,-1.3138123,8.274612,0.3021698,-0.20622253,0.49693298,39.749909,0.9750365999999999,-275.32501,8.419379931121256,0.6170710708851301,278.1816353623479,44.43489963855536,26.047695960467895
14:25:53:70,0.9316101,-1.3305664,8.585861,0.27978516,-0.22859192,0.4788208,39.59961,1.3504028,-275.1007,8.738152747265978,0.5998361110821455,277.9394679428677,44.43489972848752,26.047695960467895
14:25:53:71,0.938797,-1.3521118,9.122162,0.27020264,-0.1955719,0.4202423,40.8744815,1.57546995,-274.80010000000004,9.269486807863325,0.5365271898439721,277.8309825186951,44.43489981841968,26.047695960467895
14:25:53:72,0.87893677,-1.2922668,9.131744,0.27445984,-0.13804626,0.39041138,42.149353,1.8005371,-274.4995,9.264514655910274,0.496795752101724,277.72249709452257,44.434899908351845,26.047695960467895
14:25:53:73,0.8382416,-1.2563477,8.875565,0.2819214,-0.05496216,0.368042,41.4749145,0.825500485,-274.575035,9.003150148280925,0.4668569680039333,277.69355458966413,44.434899998284,26.047695960467895
14:25:53:74,0.9100647,-1.2659302,8.616989,0.2627411,0.015350342,0.34672546,40.800476,-0.14953613,-274.65057,8.756899934085071,0.43530111789534676,277.66461208480575,44.43490008821616,26.047695960467895
14:25:53:75,1.1016083,-1.0025635,8.57869,0.2361145,0.066482544,0.31158447,40.575408,-0.225067135,-274.875635,8.7070429270942,0.39655373874437605,277.8544584479165,44.434900178148325,26.047695960467895
14:25:53:76,1.0321655,-0.9259491,8.518829,0.22653198,0.08566284,0.25724792,40.35034,-0.30059814,-275.1007,8.630944032168328,0.3533148064600639,278.0443048110272,44.43490026808048,26.047695960467895
14:25:53:77,0.9890747,-0.8756714,8.473343,0.22227478,0.05369568,0.19865417,40.499877,-0.45013427000000006,-275.32501,8.575698849575295,0.3029072186876696,278.2882306654352,44.43490035801265,26.047695960467895
14:25:53:78,0.83584595,-1.0241089,8.571503,0.21374512,0.0057678223,0.145401,40.649414,-0.5996704,-275.54932,8.672836973574425,0.25857628448660713,278.5321565198432,44.434900447944806,26.047695960467895
14:25:53:79,0.7520447,-1.1390381,8.868378,0.21588135,-0.018737793,0.11024475,40.874482,-0.45013427000000006,-275.17471,8.972798190917574,0.24312500296533848,278.1944395918094,44.43490053787696,26.047695960467895
14:25:53:80,0.61798096,-1.2252197,9.105408,0.24357605,0.017486572,0.08999634,41.09955,-0.30059814,-274.8001,9.208231025916684,0.2602583592265756,277.85672266377554,44.43490062780913,26.047695960467895
14:25:53:81,0.3570099,-1.3305664,9.201172,0.30110168,0.08139038,0.09213257,40.874482,0.0,-274.6498,9.303732003185118,0.3252307274999884,277.6749295038926,44.434900717741286,26.047695960467895
14:25:53:82,0.12716675,-1.332962,9.059921,0.36288452,0.14318848,0.10385132,40.649414,0.30059814,-274.4995,9.15833650844904,0.4036994083796547,277.4931363440097,44.43490080767345,26.047695960467895
14:25:53:83,-0.05479431,-1.3185883,8.724731,0.42466736,0.22840881,0.13368225,40.649414,0.15029907,-275.02441,8.823979178560332,0.5003837478376453,278.012323663983,44.43490089760561,26.047695960467895
14:25:53:84,-0.06916809,-1.253952,8.138153,0.46514893,0.29444885,0.18267822,40.649414,0.0,-275.54932,8.23448323177522,0.5800301581890686,278.53151098395637,44.43490098753777,26.047695960467895
14:25:53:85,0.10322571,-0.9762268,7.5084686,0.48432922,0.30830383,0.21144104,41.549682000000004,-0.82473755,-275.62485000000004,7.572369182061133,0.611827882933394,278.74283116684705,44.43490107746993,26.047695960467895
