,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total
11:06:22:20,-0.10986328,-1.5747681,9.387924,-0.018478394,0.039855957,0.009048462,58.125305499999996,-40.875244,-240.674595,9.519720664958923,0.04485335012873095,250.94629860215795
11:06:22:21,-0.32055664,-1.6154785,9.581848,-0.06109619,0.13146973,0.018630981,58.650208,-40.800476,-239.99939,9.722362801218353,0.14616479669130786,250.4081327366225
11:06:22:22,-0.45941162,-1.6346283,9.754242,-0.048309326,0.1889801,0.048461914,57.900239,-40.800476,-238.72451999999998,9.900924487658509,0.20098712964547677,249.01154644122724
11:06:22:23,-0.41871643,-1.5963287,9.601013,0.018798828,0.20603943,0.09106445,57.15027,-40.800476,-237.44965,9.741819100833512,0.22604950055839756,247.614960145832
11:06:22:24,-0.31336975,-1.4742126,9.21315,0.12106323,0.19218445,0.13580322,57.675171500000005,-40.575408,-237.825015,9.335611191170818,0.26463877841730565,248.0600650233561
11:06:22:25,-0.22000122,-1.4023895,8.865982,0.23825073,0.15596008,0.17202759,58.200073,-40.35034,-238.20038,8.97890492603835,0.33268671241927805,248.5051699008802
11:06:22:26,0.014633179,-1.0911407,7.719162,0.32347107,0.105895996,0.19332886,58.2748415,-40.27481,-238.12484999999998,7.795913297322395,0.391437789699304,248.43806905801694
11:06:22:27,0.11997986,-0.8612976,7.113434,0.36288452,0.037719727,0.1965332,58.34961,-40.19928,-238.04932,7.166391839337797,0.41440710824360255,248.3709682151537
11:06:22:28,0.18940735,-0.7511749,6.794998,0.3564911,0.02067566,0.18588257,57.59964,-39.8246765,-237.44965,6.839015769438467,0.4025738654277628,247.56103503321066
11:06:22:29,0.0816803,-0.45188904,6.5627594,0.31175232,-0.017669678,0.1539154,56.84967,-39.450073,-236.84998,6.578805842869097,0.34812594976985856,246.75110185126758
11:06:22:30,0.15110779,-0.43273926,6.5460052,0.23718262,-0.038986206,0.123031616,55.274963,-39.749908500000004,-237.30011,6.562033290815513,0.27002277315795103,246.87947405055792
11:06:22:31,0.21095276,-0.37287903,6.5148773,0.20095825,-0.03152466,0.09106445,53.700256,-40.049744,-237.75024,6.528948312861777,0.22286937089914485,247.00784624984826
11:06:22:32,0.21334839,-0.15740967,6.5867004,0.15835571,-0.046432495,0.0473938,54.4502255,-40.200041999999996,-236.84996999999998,6.592034397595727,0.1716935635368115,246.33253583003005
11:06:22:33,0.19419861,-0.09037781,6.6657104,0.13703918,-0.06880188,0.025024414,55.200195,-40.35034,-235.9497,6.669151099303005,0.15536942055195482,245.65722541021182
11:06:22:34,0.10322571,-0.0448761,6.9266815,0.06567383,-0.118881226,-0.04421997,55.4252625,-39.450072500000005,-236.32506999999998,6.927595976527389,0.14283278191274185,245.9242513269114
11:06:22:35,-0.023666382,-0.018539429,7.3169403,0.03691101,-0.12632751,-0.06340027,55.65033,-38.549805,-236.70044,7.3170020610786155,0.14608441627392396,246.19127724361095
11:06:22:36,-0.1816864,0.0030059814,8.037598,-0.03126526,-0.14657593,-0.09642029,55.500029999999995,-39.374542500000004,-235.87493999999998,8.039651770659791,0.17821024679270436,245.49642902765305
11:06:22:37,-0.33491516,-0.004180908,8.703186,-0.083465576,-0.12207031,-0.11026001,55.34973,-40.19928,-235.04944,8.709628705919991,0.18445848520929575,244.80158081169515
11:06:22:38,-0.41871643,0.04849243,9.270615,-0.10157776,-0.062408447,-0.10707092,55.1246635,-38.99994,-235.12497000000002,9.280192748146142,0.16024056132332976,244.63225762212173
11:06:22:39,-0.6509552,0.017364502,9.88591,-0.090927124,0.008956909,-0.09854126,54.899597,-37.8006,-235.2005,9.907333684015935,0.13438135294799372,244.4629344325483
11:06:22:40,-0.68685913,0.041305542,10.189987,-0.029129028,0.1101532,-0.05807495,54.750061,-38.6253365,-233.8501,10.21319326520522,0.12788638535812671,243.26207913952993
11:06:22:41,-0.51208496,0.23045349,10.146881,0.07846069,0.19432068,-0.010131836,54.600525,-39.450073,-232.4997,10.162407876358456,0.20980767538788803,242.06122384651152
11:06:22:42,-0.18887329,0.5560608,9.596222,0.26062012,0.1762085,0.048461914,53.8505555,-38.7001035,-233.0246,9.614174608683578,0.3183093456523195,242.2795849646916
11:06:22:43,0.16067505,0.87449646,8.978516,0.3021698,0.12400818,0.052719116,53.100586,-37.950134,-233.5495,9.022433712280797,0.33085332389258815,242.4979460828717
11:06:22:44,0.38334656,1.1857452,8.423065,0.3287964,0.007888794,0.02609253,53.700256499999995,-38.324737,-232.79953,8.514750158320082,0.3299244244452589,241.96881325508355
11:06:22:45,0.47192383,1.3030548,8.356018,0.27766418,-0.114608765,-0.029312134,54.299927,-38.69934,-232.04956,8.470165330703345,0.30181412668980817,241.4396804272954
11:06:22:46,0.34503174,1.259964,8.91626,0.09976196,-0.25628662,-0.13050842,53.6247255,-38.6245725,-232.35016000000002,9.01145096921153,0.3044137446715611,241.5669705953227
11:06:22:47,0.19419861,1.0205383,9.773392,0.042236328,-0.26268005,-0.15501404,52.949524,-38.549805,-232.65076,9.828448641955495,0.30791893197406306,241.69426076334994
11:06:22:48,-0.014099121,0.75239563,10.77417,-0.104766846,-0.20089722,-0.21253967,52.2750855,-38.024902499999996,-232.050325,10.800418378847926,0.31065881018928954,240.88663257973343
11:06:22:49,-0.17211914,0.46269226,11.5858,-0.12501526,-0.09863281,-0.21786499,51.600647,-37.5,-231.44989,11.596312809070746,0.26985625860643625,240.0790043961169
11:06:22:50,-0.2894287,0.3310089,11.887466,-0.1207428,-0.060287476,-0.21253967,52.4253845,-37.274933000000004,-231.29959000000002,11.895595141287338,0.25176678660617546,240.07935217623958
11:06:22:51,-0.5001221,0.22805786,12.462082,-0.038726807,0.01109314,-0.1795044,53.250122,-37.049866,-231.14929,12.474198181732572,0.18396916305412397,240.07969995636228
11:06:22:52,-0.34928894,0.24960327,12.4405365,0.047561646,-0.010223389,-0.14222717,53.9253235,-36.899567000000005,-230.54962,12.447941715955826,0.15031698420033426,239.63155697935028
11:06:22:53,-0.23675537,0.38607788499999995,12.09217825,0.08963775800000001,-0.1055603045,-0.141693115,54.600525,-36.749268,-229.94995,12.102019011133251,0.2144729895279195,239.18341400233828
11:06:22:54,-0.1242218,0.5225525,11.74382,0.13171387,-0.20089722,-0.14115906,53.100586,-36.374663999999996,-230.325315,11.756096306310674,0.27862899485550474,239.1549066523208
11:06:22:55,-0.06677246,0.46029663,11.628891,0.10189819,-0.26055908,-0.14434814,51.600647,-36.00006,-230.70068,11.63818875250289,0.31481845691951116,239.12639930230333
11:06:22:56,0.05055237,0.27833557,11.719879,0.049697876,-0.23712158,-0.13902283,52.2003175,-35.700225,-229.725645,11.723292626488552,0.2793275314784002,238.2727905866826
11:06:22:57,0.20617676,0.10835266,12.040695,0.011352539,-0.16362,-0.13264465,52.799988,-35.40039,-228.75061,12.042947531161886,0.2109383505087897,237.41918187106185
11:06:22:58,0.30433655,0.007797241,12.162796,0.0124053955,-0.1252594,-0.12625122,51.899719000000005,-35.625457499999996,-228.900145,12.166605445655298,0.17827838252957035,237.40032346252787
11:06:22:59,0.6538849,0.04849243,11.9353485,0.07739258,-0.06347656,-0.14755249,50.99945,-35.850525,-229.04968,11.953345171736135,0.17829924961617225,237.3814650539939
11:06:22:60,0.60839844,0.24481201,11.339203,0.10189819,-0.07626343,-0.17311096,50.9246825,-35.9252925,-228.900145,11.358151533468977,0.21486450696372028,237.23245487706546
11:06:22:61,0.507843,0.2591858,11.035141,0.082717896,-0.17427063,-0.26153564,50.849915,-36.00006,-228.75061,11.049860572941707,0.3249821438009684,237.08344470013702
11:06:22:62,0.6538849,0.13948059,10.903458,0.015609741,-0.14762878,-0.31159973,51.6746525,-35.025024,-228.300475,10.923937781551064,0.34515549022788033,236.68503053052348
11:06:22:63,0.6060028,0.041305542,10.860352,-0.06642151,-0.048568726,-0.37765503,52.49939,-34.049988,-227.85034,10.877324629949765,0.38651527760263765,236.28661636090996
11:06:22:64,0.34742737,-0.15501404,10.972885,-0.104766846,0.008956909,-0.40107727,51.974487499999995,-33.824921,-228.45001,10.979478145761174,0.414631516831843,236.71793225069604
11:06:22:65,0.08406067,-0.4566803,11.087799,-0.17614746,0.1570282,-0.4490204,51.449585,-33.599854,-229.04968,11.097518180072964,0.5072525040607011,237.1492481404821
11:06:22:66,-0.13140869,-0.7056732,11.185974,-0.17294312,0.2081604,-0.4500885,51.824951,-33.599854,-227.54973999999999,11.208981097213151,0.5251854269834079,235.7841963795898
11:06:22:67,-0.22956848,-0.80145264,11.123718,-0.1399231,0.21987915,-0.43411255,52.200317,-33.599854,-226.0498,11.154915067569831,0.506338839697129,234.4191446186975
11:06:22:68,-0.29901123,-0.937912,10.826843,-0.11541748,0.2124176,-0.4223938,52.200317,-33.09987433333333,-226.30004666666667,10.871504770824465,0.4866815732671111,234.5906057484037
11:06:22:69,-0.33251953,-1.0480499,10.630508,-0.095184326,0.199646,-0.41067505,52.200317,-32.59989466666667,-226.55029333333334,10.687220320026412,0.4664467578669368,234.7620668781099
11:06:22:70,-0.2798462,-1.2132568,10.283356,-0.067489624,0.08459473,-0.33717346,52.200317,-32.099915,-226.80054,10.358461110663914,0.3541144727624188,234.9335280078161
11:06:22:71,-0.20323181,-1.3066254,10.237869,-0.06321716,0.047302246,-0.28816223,50.70038,-32.099915,-226.3504,10.322913094939919,0.29878316986350323,234.16967492677531
11:06:22:72,0.06251526,-1.3712616,10.178009,-0.050445557,0.013214111,-0.23809814,51.000215,-31.649780500000002,-225.74997000000002,10.270157434891074,0.24374185365263015,233.59388046299716
11:06:22:73,0.35940552,-1.36409,10.192368,-0.04298401,-0.030456543,-0.20507812,51.30005,-31.199646,-225.14954,10.289522792789297,0.21173630163466384,233.01808599921898
11:06:22:74,0.73768616,-1.3664856,10.276169,-0.025939941,-0.05708313,-0.19229126,51.824951999999996,-31.05011,-224.54987,10.392839510077305,0.2022555139966967,232.53602775681026
11:06:22:75,0.96273804,-1.3497162,10.264206,0.0017547607,-0.051757812,-0.20082092,52.349854,-30.900574,-223.9502,10.397236323400632,0.20739091638205376,232.05396951440153
11:06:22:76,0.86457825,-1.2587433,10.041534,0.03477478,-0.008087158,-0.21359253,52.424622,-29.850006,-224.6254,10.156984558362977,0.21655589652643095,232.58807811584245
11:06:22:77,0.93400574,-1.0911407,9.720718,0.055023193,0.043045044,-0.2263794,52.49939,-28.799438,-225.3006,9.826256315864828,0.23691361363424684,233.1221867172834
11:06:22:78,0.82865906,-0.88046265,9.323273,0.055023193,0.08566284,-0.24449158,52.49939,-28.799438,-225.3006,9.401346166815372,0.2648429848338016,233.1221867172834
